Numeros		Comando	Respuesta		
5215510528346	Ejemplo de México	Hola/Quiero/Hola,	¡Hola! Bienvenido a *Weeplay* 👋👋   - Escribe *reservar* si quieres reservar una pista completa - Escribe *liga* si quieres apuntarte a uno de nuestros torneos de pádel - Escribe *buscar* si quieres buscar rivales o pareja ideal - Escribe *clases* si quieres recibir clases de pádel o tenis	Notas	Recuerden usar \n para cada que quieran dar un enter a los mensajes
34666088703	Ejemplo de España	p	¡Genial👍!  ¿En qué centro deportivo quieres jugar?   - *ph*: Centro deportivo La Hípica - *ps*: SUMA Fitness Club Alfafar  - *po*: Complejo deportivo Orriols  - *pp*: SUMA Fitness Club Patacona - *pt*: Boix Team Tennis - *pn*: Atalanta Ronda Norte  - *pi*: ¿Dónde se encuentran estos polideportivos?		Pueden usar los asteriscos * para poner en negritas ciertas palabras para los mensajes
		t	¡Genial👍!  ¿En qué centro deportivo quieres jugar?   - *th*: Centro deportivo La Hípica  - *ts*: SUMA Fitness Club Alfafar  - *to*: Complejo deportivo Orriols - *tt*: Boix Team Tennis  - *ti*: ¿Dónde se encuentran estos polideportivos?		El comando default es el mensaje que mandará en caso de no estar entre los comandos lo que se le mande
		Default	Lo siento, no te he entendido... 🙄 Soy un robot 🤖 y aún estoy aprendiendo.  Escribe sólo las palabras en *negrita*.  Las preguntas, a través de 👇  Correo: info@weeplay.chat Instagram: @weeplay.chat		
		ph	¡Perfecto! 👏 ¿Qué deseas sobre el Centro deportivo la Hípica?   - *phi*: Información  - *phr*: Reservar pista de Pádel		Les dejo aqui para que puedan copiar y pegar el enter para los mensajes
		ps	¡Perfecto! 👏 ¿Qué deseas sobre SUMA Fitness Club Alfafar?   - *psi*: Información  - *psr*: Reservar pista de Pádel 		Dense cuenta que es una diagonal invertida y no la normal
		po	¡Perfecto! 👏 ¿Qué deseas sobre el Complejo deportivo Orriols?   - *poi*: Información  - *por*: Reservar pista de Pádel 		\n
		pp	¡Perfecto! 👏 ¿Qué deseas sobre SUMA Fitness Club Patacona?   - *ppi*: Información  - *ppr*: Reservar pista de Pádel 		
		pi	Mapa de los centros deportivos:  https://drive.google.com/open?id=1Tl1Bb9z6Yk_L7xI-nKnKHz9s2wLVNSSE&usp=sharing  Entonces...¿Cuál te viene mejor? 🤔  - *ph*: Centro deportivo La Hípica - *ps*: SUMA Fitness Club Alfafar  - *po*: Complejo deportivo Orriols  - *pp*: SUMA Fitness Club Patacona - *pt*: Boix Team Tennis - *pn*: Atalanta Ronda Norte		
		th	¡Perfecto! 👏 ¿Qué deseas sobre el Centro deportivo la Hípica?   - *thi*: Información  - *thr*: Reservar pista de Tenis 		
		ts	¡Perfecto! 👏 ¿Qué deseas sobre SUMA Fitness Club Alfafar?   - *tsi*: Información  - *tsr*: Reservar pista de Tenis 		
		to	¡Perfecto! 👏 ¿Qué deseas sobre el Complejo deportivo Orriols?   - *toi*: Información  - *tor*: Reservar pista de Tenis 		
		ti	Mapa de los centros deportivos:  https://drive.google.com/open?id=1tTCnBscQ31YbAlwuU_n9n2AHmXMKWX67&usp=sharing  Entonces...¿Cuál te viene mejor? 🤔  - *th*: Centro deportivo La Hípica  - *ts*: SUMA Fitness Club Alfafar  - *to*: Complejo deportivo Orriols - *tt*: Boix Team Tennis		
		phi	- Nº: 4 pistas - Tipo: Cemento - Entorno: Exterior  Tras esta información, te interesa jugar aquí?   - *phr*: Sí, me interesa - *p*: No, no me convence este centro 		
		psi	- Nº: 10 pistas - Tipo: Cristal - Entorno: Exterior y cubierto  Tras esta información, te interesa jugar aquí?   - *psr*: Sí, me interesa - *p*: No, no me convence este centro 		
		poi	- Nº: 4 pistas - Tipo: Cristal - Entorno: Exterior  Tras esta información, te interesa jugar aquí?   - *por*: Sí, me interesa - *p*: No, no me convence este centro 		
		ppi	- Nº: 4 pistas - Tipo: Cemento - Entorno: Exterior  Tras esta información, te interesa jugar aquí?   - *ppr*: Sí, me interesa - *p*: No, no me convence este centro 		
		thi	- Nº: 3 pistas - Tipo: Cesped artificial - Entorno: Exterior  Tras esta información, te interesa jugar aquí?   - *thr*: Sí, me interesa - *t*: No, no me convence este centro  		
		tsi	- Nº: 2 pistas - Tipo: Cemento - Entorno: Exterior  Tras esta información, te interesa jugar aquí?   - *tsr*: Sí, me interesa - *t*: No, no me convence este centro		
		toi	- Nº: 3 pistas - Tipo: Cemento - Entorno: Exterior  Tras esta información, te interesa jugar aquí?   - *tor*: Sí, me interesa - *t*: No, no me convence este centro 		
		phd	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
		psd	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
		pod	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
		ppd	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
		thd	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
		tsd	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
		tod	Perfecto!! Estamos comprobando la disponibilidad de la pista 😉		
	Administrador	si	¿Quieres confirmar?  - *s*: Sí, reservame la pista - *n*: Ya jugaré en otro momento		
	Administrador	no	Lo siento, no está disponible 😔  - *reservar*: Hablar a Weeplay para encontrar otras opciones - *n*: Ya jugaré en otro momento		
		s	Gracias por confirmar!!  Paga en la pista a nombre de *Weeplay*, disfruta de la partida y te esperamos pronto por aquí 👋  - Recuerda mandar *hola* la siguiente vez que quieras reservar una pista - Si quieres cancelar la partida, escribe *cancelar*		
		n	Gracias por utilizar *Weeplay* 😎  Recuerda mandar *hola* la siguiente vez que quieras reservar una pista		
		phr	Escribe "phd+nombre+día+hora reserva" 👇  Ejemplo: *phd Javier Pérez 20 noviembre 17:00*		
		psr	Escribe "psd+nombre+día+hora reserva" 👇  Ejemplo: *psd Javier Pérez 20 noviembre 17:00*		
		por	Escribe "pod+nombre+día+hora reserva" 👇  Ejemplo: *pod Javier Pérez 20 noviembre 17:00*		
		ppr	Escribe "ppd+nombre+día+hora reserva" 👇  Ejemplo: *ppd Javier Pérez 20 noviembre 17:00*		
		thr	Escribe "thd+nombre+día+hora reserva" 👇  Ejemplo: *thd Javier Pérez 20 noviembre 17:00*		
